,index,resourceId,fromUserId_x,categoryId,longitude,latitude,created_dates,updated_dates
33,33,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
34,34,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
35,35,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
36,36,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
37,37,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
38,38,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
39,39,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
40,40,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
41,41,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
42,42,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
43,43,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
44,44,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
45,45,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
46,46,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
47,47,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
48,48,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
49,49,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
50,50,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
51,51,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
52,52,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
53,53,604cf485c4e5fa0b7f7799386,5fdf6bbcfe08e8c0191a7832,602cbb7278d3fda29f33061a,-89.29043849909912,38.94679613479058,2021-03-02,2021-03-24
